date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:16	172/172	---MCZ	200	added ('OK')	text/plain	etag:W/%2260afbf8d-111%22	https://txcap.org/robots.txt		(from )
13:42:16	52144/-1	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Oct%202025%2018:42:17%20GMT	https://txcap.org/	C:/My%20Web%20Sites/TxCAP/txcap.org/index.html	(from )
13:42:16	12754/12754	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260afbf8f-31d2%22	https://txcap.org/wp-content/themes/ffer/img/icons/favicon.ico	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/img/icons/favicon.ico	(from https://txcap.org/)
13:42:16	15472/15472	---M--	200	added ('OK')	image/png	etag:%2260afbf8f-3c70%22	https://txcap.org/wp-content/themes/ffer/img/icons/touch.png	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/img/icons/touch.png	(from https://txcap.org/)
13:42:16	116345/116345	---MCZ	200	added ('OK')	text/css	etag:W/%22686d16f8-1c679%22	https://txcap.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-includes/css/dist/block-library/style.min32d4.css	(from https://txcap.org/)
13:42:17	2213/2213	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-8a5%22	https://txcap.org/wp-content/themes/ffer/css/normalize.css?ver=3.0.2	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/css/normalize5b75.css	(from https://txcap.org/)
13:42:17	6205/6205	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-183d%22	https://txcap.org/wp-content/themes/ffer/css/skeleton.css?ver=2.0.4	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/css/skeleton1c12.css	(from https://txcap.org/)
13:42:17	15503/15503	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-3c8f%22	https://txcap.org/wp-content/themes/ffer/css/fonts.css?ver=1.0	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/css/fonts5152.css	(from https://txcap.org/)
13:42:17	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-5cbb%22	https://txcap.org/wp-content/themes/ffer/css/font-awesome.css?ver=4.3.0	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/css/font-awesomeb2f9.css	(from https://txcap.org/)
13:42:17	29818/29818	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-747a%22	https://txcap.org/wp-content/themes/ffer/style.css?ver=3.28	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/style492e.css	(from https://txcap.org/)
13:42:18	4571/4571	---MCZ	200	added ('OK')	text/css	etag:W/%2260afbf8f-11db%22	https://txcap.org/wp-content/themes/ffer/css/flexslider.css?ver=6.8.3	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/themes/ffer/css/flexslider32d4.css	(from https://txcap.org/)
13:42:18	6091/6091	---MCZ	200	added ('OK')	text/css	etag:W/%22645c4776-17cb%22	https://txcap.org/wp-content/plugins/tablepress/css/build/default.css?ver=2.1.2	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-content/plugins/tablepress/css/build/default431f.css	(from https://txcap.org/)
13:42:18	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://txcap.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/TxCAP/txcap.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://txcap.org/)
